t,Unnamed: 0,TRANSMITTER,DETECTEDID,DATETIME,X,Y,D,LAT,LON,n,HPE,HPEm,TEMP,DEPTH,ACCEL,DRX,URX,geometry,TIMEDELTA,speed,prev_pt,direction,turning_angle,state
2020-06-22 12:42:00,47180,2020-21,A69-9006-7849,6/22/2020 12:42,3792.15,6447.45,3.032,34.412137,-119.562346,5,3.0,,,3.0319,,In_A In_B Off_A Off_B OS1,In_A In_B Off_A Off_B OS1,POINT (-119.562346 34.412137),0 days 00:02:00,0.5552264960620014,POINT (-119.561634 34.412249),259.2050601664731,-64.39104686573485,0
2020-06-22 12:43:00,47182,2020-21,A69-9006-7849,6/22/2020 12:43,3779.82,6401.12,3.032,34.411719,-119.56248,5,2.8,,,3.0319,,In_A In_B Off_A Off_B OS1,In_A In_B Off_A Off_B OS1,POINT (-119.56248 34.411719),0 days 00:01:00,0.7996221108750106,POINT (-119.562346 34.412137),194.81401330073828,-174.92587898472496,0
2020-06-22 12:46:00,41238,2020-21,A69-9006-7849,6/22/2020 12:46,3834.9,6552.69,1.516,34.413085,-119.561881,1,5.3,,,1.5159,,In_A In_B Off_B OS1,In_A In_B Off_B,POINT (-119.561881 34.413085),0 days 00:03:00,0.8957040899356454,POINT (-119.56248 34.411719),19.88813431601335,-79.728885020984,0
2020-06-22 12:47:00,42601,2020-21,A69-9006-7849,6/22/2020 12:47,3805.99,6569.41,1.819,34.413236,-119.562196,5,3.8,,,1.8191,,In_A In_B Off_A Off_B OS1,In_A In_B Off_A Off_B OS1,POINT (-119.562196 34.413236),0 days 00:01:00,0.5575821516721075,POINT (-119.561881 34.413085),300.1592492950293,-12.250834248237883,0
2020-06-22 12:48:00,41939,2020-21,A69-9006-7849,6/22/2020 12:48,3724.22,6595.71,1.668,34.413473,-119.563085,3,4.9,,,1.6675,,In_A Off_A Off_B OS1,In_A Off_A Off_B OS1,POINT (-119.563085 34.413473),0 days 00:01:00,1.430908487488393,POINT (-119.562196 34.413236),287.90841504679145,-46.212853930979456,1
2020-06-22 12:49:00,44446,2020-21,A69-9006-7849,6/22/2020 12:49,3656.58,6559.44,2.274,34.413146,-119.563821,7,3.2,,,2.2739,,In_A In_B Off_A Off_B OS1,In_A In_B Off_A Off_B OS1,POINT (-119.563821 34.413146),0 days 00:01:00,1.2795660032929086,POINT (-119.563085 34.413473),241.69556111581198,-20.717656809970922,1
2020-06-22 12:50:00,46210,2020-21,A69-9006-7849,6/22/2020 12:50,3614.44,6511.15,2.729,34.412711,-119.564279,12,2.9,,,2.7287,,In_A In_B Off_A Off_B Off_C OS1,In_A In_B Off_A Off_B Off_C OS1,POINT (-119.564279 34.412711),0 days 00:01:00,1.0673753487090034,POINT (-119.563821 34.413146),220.97790430584107,79.42983387707258,1
2020-06-22 12:51:00,43866,2020-21,A69-9006-7849,6/22/2020 12:51,3553.49,6546.85,2.122,34.413032,-119.564942,4,3.3,,,2.1223,,In_A Off_A Off_B OS1,In_A Off_A Off_B OS1,POINT (-119.564942 34.413032),0 days 00:01:00,1.1765362440679046,POINT (-119.564279 34.412711),300.40773818291365,-2.3831491248801675,1
2020-06-22 12:53:00,36361,2020-21,A69-9006-7849,6/22/2020 12:53,3496.11,6577.22,0.606,34.413306,-119.565566,3,5.3,,,0.6063,,In_A Off_A Off_B OS1,In_A Off_A Off_B OS1,POINT (-119.565566 34.413306),0 days 00:02:00,0.541017114295373,POINT (-119.564942 34.413032),298.0245890580335,-175.78597379413853,1
2020-06-22 12:54:00,44447,2020-21,A69-9006-7849,6/22/2020 12:54,3557.3,6538.76,2.274,34.41296,-119.564901,7,3.2,,,2.2739,,In_A Off_A Off_B Off_C OS1,In_A Off_A Off_B Off_C OS1,POINT (-119.564901 34.41296),0 days 00:01:00,1.2031063897448613,POINT (-119.565566 34.413306),122.23861526389493,-5.100915355197469,1
