TRANSMITTER,DETECTEDID,DATETIME,X,Y,D,LAT,LON,n,HPE,HPEm,TEMP,DEPTH,ACCEL,DRX,URX,day,minutes,min_mod,Temp_C,DateTimeUTC,DateTimePT,month_name,hour,TOD,Night_Day,geometry
2020-20,A69-9006-7853,2020-08-23 07:05:00,5546.43,4891.18,-0.455,34.398108,-119.543265,3,2.9,,,0.0,,In_E In_F Mid_A PB,In_E In_F Mid_A PB,236,164585.0,425,21.63066673,8/23/2020 7:05,8/23/2020 0:05,August,0,night,night,POINT (-119.543265 34.398108)
2020-20,A69-9006-7853,2020-08-23 07:08:00,5458.07,4851.75,-0.455,34.397752,-119.544226,2,2.7,,,0.0,,In_E In_F Mid_A Off_F,In_E In_F Mid_A Off_F,236,164588.0,428,21.62696648,8/23/2020 7:08,8/23/2020 0:08,August,0,night,night,POINT (-119.544226 34.397752)
2020-20,A69-9006-7853,2020-08-23 07:14:00,5247.99,4830.52,-0.152,34.397561,-119.546511,2,2.7,,,0.0,,In_E Mid_A Off_F PB,In_E Mid_A Off_F PB,236,164594.0,434,21.6197567,8/23/2020 7:14,8/23/2020 0:14,August,0,night,night,POINT (-119.546511 34.397561)
2020-20,A69-9006-7853,2020-08-23 07:09:00,5406.59,4833.14,0.303,34.397585,-119.544786,3,2.8,,,0.3031,,In_E In_F Mid_A Off_E,In_E In_F Mid_A Off_E,236,164589.0,429,21.81102371,8/23/2020 7:09,8/23/2020 0:09,August,0,night,night,POINT (-119.544786 34.397585)
2020-20,A69-9006-7853,2020-08-23 07:17:00,5159.26,4828.33,0.606,34.397541,-119.547476,2,2.8,,,0.6063,,In_E Mid_A Off_F PB,In_E Mid_A Off_F PB,236,164597.0,437,20.71699333,8/23/2020 7:17,8/23/2020 0:17,August,0,night,night,POINT (-119.547476 34.397541)
2020-20,A69-9006-7853,2020-08-23 07:16:00,5203.32,4822.64,3.335,34.39749,-119.546997,16,2.5,,,3.3351,,In_D In_E Mid_A Off_E Off_F PB,In_D In_E Mid_A Off_E Off_F PB,236,164596.0,436,18.02834511,8/23/2020 7:16,8/23/2020 0:16,August,0,night,night,POINT (-119.546997 34.39749)
2020-20,A69-9006-7853,2020-08-23 02:58:00,5155.88,4928.71,-0.455,34.398446,-119.547513,4,3.6,,,0.0,,In_D In_E Off_E PB,In_D In_E Off_E PB,235,164338.0,178,21.67945671,8/23/2020 2:58,8/22/2020 19:58,August,19,night,night,POINT (-119.547513 34.398446)
2020-20,A69-9006-7853,2020-08-23 02:46:00,5551.05,4932.21,1.213,34.398478,-119.543215,1,3.1,,,1.2127,,In_E In_F Mid_A,In_E In_F Mid_A,235,164326.0,166,20.29451752,8/23/2020 2:46,8/22/2020 19:46,August,19,night,night,POINT (-119.543215 34.398478)
2020-20,A69-9006-7853,2020-08-23 02:48:00,5504.04,4940.52,1.668,34.398553,-119.543726,2,6.1,,,1.6675,,In_D In_E Mid_A Off_F,In_D In_E Mid_A Off_F,235,164328.0,168,20.30512047,8/23/2020 2:48,8/22/2020 19:48,August,19,night,night,POINT (-119.543726 34.398553)
2020-20,A69-9006-7853,2020-08-23 02:49:00,5459.05,4954.49,1.971,34.398679,-119.544216,6,2.5,,,1.9707,,In_D In_E In_F Mid_A Off_F,In_D In_E In_F Mid_A Off_F,235,164329.0,169,20.29964828,8/23/2020 2:49,8/22/2020 19:49,August,19,night,night,POINT (-119.544216 34.398679)
2020-20,A69-9006-7853,2020-08-23 02:56:00,5198.37,4914.62,2.577,34.398319,-119.547051,10,2.8,,,2.5771,,In_D In_E Off_E Off_F PB,In_D In_E Off_E Off_F PB,235,164336.0,176,19.90257454,8/23/2020 2:56,8/22/2020 19:56,August,19,night,night,POINT (-119.547051 34.398319)
2020-20,A69-9006-7853,2020-08-23 02:58:00,5126.99,4941.89,2.577,34.398565,-119.547827,17,2.4,,,2.5771,,In_D_2 In_E In_F Off_E Off_F PB,In_D_2 In_E In_F Off_E Off_F PB,235,164338.0,178,19.89465714,8/23/2020 2:58,8/22/2020 19:58,August,19,night,night,POINT (-119.547827 34.398565)
2020-20,A69-9006-7853,2020-08-23 02:55:00,5231.33,4910.77,2.729,34.398285,-119.546692,13,2.3,,,2.7287,,In_D In_D_2 In_E In_F Mid_A Off_F PB,In_D In_E In_F Mid_A Off_F PB,235,164335.0,175,19.6642971,8/23/2020 2:55,8/22/2020 19:55,August,19,night,night,POINT (-119.546692 34.398285)
2020-20,A69-9006-7853,2020-08-23 02:51:00,5367.99,4947.98,3.032,34.39862,-119.545206,15,2.4,,,3.0319,,In_D In_E In_F Mid_A Off_E Off_F,In_D In_E In_F Mid_A Off_E Off_F,235,164331.0,171,18.83726501,8/23/2020 2:51,8/22/2020 19:51,August,19,night,night,POINT (-119.545206 34.39862)
2020-20,A69-9006-7853,2020-08-23 02:54:00,5274.23,4916.72,5.154,34.398338,-119.546226,5,2.9,,,5.1543,,In_D In_D_2 In_E Mid_A Off_E,In_D In_D_2 In_E Mid_A Off_E,235,164334.0,174,19.3972683,8/23/2020 2:54,8/22/2020 19:54,August,19,night,night,POINT (-119.546226 34.398338)
2020-20,A69-9006-7853,2020-08-23 02:59:00,5084.71,4934.82,6.519,34.398501,-119.548287,1,8.2,,,6.5187,,In_D In_F Mid_A,In_D In_F Mid_A,235,164339.0,179,18.58683968,8/23/2020 2:59,8/22/2020 19:59,August,19,night,night,POINT (-119.548287 34.398501)
