TRANSMITTER,DETECTEDID,DATETIME,X,Y,D,LAT,LON,n,HPE,HPEm,TEMP,DEPTH,ACCEL,DRX,URX,day,minutes,min_mod,Temp_C,DateTimeUTC,DateTimePT,month_name,hour,TOD,Night_Day,geometry
2020-20,A69-9006-7853,2020-08-21 17:38:00,5416.98,4967.24,-0.607,34.398794,-119.544673,8,2.5,,,0.0,,In_E In_F Mid_A Off_E Off_F,In_E In_F Mid_A Off_E Off_F,234,162338.0,1058,20.44212151,8/21/2020 17:38,8/21/2020 10:38,August,10,morning,day,POINT (-119.544673 34.398794)
2020-20,A69-9006-7853,2020-08-21 17:37:00,5434.24,4937.21,-0.152,34.398523,-119.544485,1,2.7,,,0.0,,In_E In_F Mid_A,In_E In_F Mid_A,234,162337.0,1057,20.44378853,8/21/2020 17:37,8/21/2020 10:37,August,10,morning,day,POINT (-119.544485 34.398523)
2020-20,A69-9006-7853,2020-08-21 17:48:00,5218.96,5299.43,1.364,34.401788,-119.546827,3,3.0,,,1.3643,,In_D In_D_2 In_E Off_E OS2,In_D In_D_2 In_E Off_E OS2,234,162348.0,1068,19.37020874,8/21/2020 17:48,8/21/2020 10:48,August,10,morning,day,POINT (-119.546827 34.401788)
2020-20,A69-9006-7853,2020-08-21 17:33:00,5542.01,4810.41,1.516,34.39738,-119.543313,1,3.9,,,1.5159,,In_E In_F Mid_A,In_E In_F Mid_A,234,162333.0,1053,19.36135292,8/21/2020 17:33,8/21/2020 10:33,August,10,morning,day,POINT (-119.543313 34.39738)
2020-20,A69-9006-7853,2020-08-21 17:47:00,5239.9,5245.13,1.516,34.401299,-119.546599,2,3.0,,,1.5159,,In_D In_D_2 In_E Off_E,In_D In_D_2 In_E Off_E,234,162347.0,1067,19.34681129,8/21/2020 17:47,8/21/2020 10:47,August,10,morning,day,POINT (-119.546599 34.401299)
2020-20,A69-9006-7853,2020-08-21 17:34:00,5509.53,4842.48,1.971,34.397669,-119.543667,2,2.9,,,1.9707,,CN In_E In_F Mid_A Off_F,In_E In_F Mid_A Off_F,234,162334.0,1054,19.34220123,8/21/2020 17:34,8/21/2020 10:34,August,10,morning,day,POINT (-119.543667 34.397669)
2020-20,A69-9006-7853,2020-08-21 17:42:00,5331.25,5073.81,1.971,34.399754,-119.545605,7,2.9,,,1.9707,,In_D In_E Mid_A Off_E PB,In_D In_E Mid_A Off_E PB,234,162342.0,1062,19.33193398,8/21/2020 17:42,8/21/2020 10:42,August,10,morning,day,POINT (-119.545605 34.399754)
2020-20,A69-9006-7853,2020-08-21 17:54:00,5159.53,5404.54,2.88,34.402736,-119.547473,4,3.1,,,2.8803,,In_D In_E In_F Off_E OS2,In_D In_E In_F Off_E OS2,234,162354.0,1074,19.25559616,8/21/2020 17:54,8/21/2020 10:54,August,10,morning,day,POINT (-119.547473 34.402736)
2020-20,A69-9006-7853,2020-08-21 17:26:00,5576.09,4566.01,3.638,34.395177,-119.542943,3,4.0,,,3.6383,,In_F Mid_A Mid_B Off_F Off_G,In_F Mid_A Off_F Off_G,234,162326.0,1046,17.73571205,8/21/2020 17:26,8/21/2020 10:26,August,10,morning,day,POINT (-119.542943 34.395177)
2020-20,A69-9006-7853,2020-08-21 17:35:00,5482.42,4863.92,4.396,34.397862,-119.543962,1,2.9,,,4.3963,,In_E In_F Mid_A,In_E In_F Mid_A,234,162335.0,1055,18.83904839,8/21/2020 17:35,8/21/2020 10:35,August,10,morning,day,POINT (-119.543962 34.397862)
