TRANSMITTER,DETECTEDID,DATETIME,X,Y,D,LAT,LON,n,HPE,HPEm,TEMP,DEPTH,ACCEL,DRX,URX,day,minutes,min_mod,Temp_C,DateTimeUTC,DateTimePT,month_name,hour,TOD,Night_Day,geometry
2020-20,A69-9006-7853,2020-06-06 07:00:00,4548.11,5635.97,-0.607,34.404822,-119.554123,1,3.2,,,0.0,,Off_C Off_D OS2,Off_C Off_D OS2,158,52260.0,420,16.36515999,6/6/2020 7:00,6/6/2020 0:00,June,0,night,night,POINT (-119.554123 34.404822)
2020-20,A69-9006-7853,2020-06-06 07:01:00,4540.82,5594.87,-0.607,34.404451,-119.554202,8,2.5,,,0.0,,In_C In_D Off_C Off_D OS2,In_C In_D Off_C Off_D OS2,158,52261.0,421,16.36756706,6/6/2020 7:01,6/6/2020 0:01,June,0,night,night,POINT (-119.554202 34.404451)
2020-20,A69-9006-7853,2020-06-06 07:16:00,4374.14,5677.91,-0.152,34.4052,-119.556015,1,3.6,,,0.0,,Off_C Off_D OS2,Off_C Off_D OS2,158,52276.0,436,16.42735672,6/6/2020 7:16,6/6/2020 0:16,June,0,night,night,POINT (-119.556015 34.4052)
2020-20,A69-9006-7853,2020-06-06 07:12:00,4417.71,5824.62,0.152,34.406523,-119.555541,7,2.6,,,0.1515,,In_B In_C Off_C Off_D OS2,In_B In_C Off_C Off_D OS2,158,52272.0,432,17.17287064,6/6/2020 7:12,6/6/2020 0:12,June,0,night,night,POINT (-119.555541 34.406523)
2020-20,A69-9006-7853,2020-06-06 07:11:00,4459.69,5827.84,0.303,34.406552,-119.555085,2,3.3,,,0.3031,,In_B In_C Off_C Off_D,In_B In_C Off_C Off_D,158,52271.0,431,17.19386292,6/6/2020 7:11,6/6/2020 0:11,June,0,night,night,POINT (-119.555085 34.406552)
2020-20,A69-9006-7853,2020-06-06 07:04:00,4593.75,5707.52,0.758,34.405467,-119.553626,4,2.7,,,0.7579,,In_C Off_C Off_D OS2,In_C Off_C Off_D OS2,158,52264.0,424,17.0716877,6/6/2020 7:04,6/6/2020 0:04,June,0,night,night,POINT (-119.553626 34.405467)
2020-20,A69-9006-7853,2020-06-06 07:06:00,4612.3,5808.35,0.91,34.406376,-119.553425,4,3.0,,,0.9095,,In_C Off_C Off_D OS2,In_C Off_C Off_D OS2,158,52266.0,426,16.91938591,6/6/2020 7:06,6/6/2020 0:06,June,0,night,night,POINT (-119.553425 34.406376)
2020-20,A69-9006-7853,2020-06-06 07:05:00,4621.96,5751.96,1.061,34.405868,-119.55332,7,2.6,,,1.0611,,In_C In_D Off_C Off_D OS2,In_C In_D Off_C Off_D OS2,158,52265.0,425,16.9577198,6/6/2020 7:05,6/6/2020 0:05,June,0,night,night,POINT (-119.55332 34.405868)
2020-20,A69-9006-7853,2020-06-06 07:10:00,4502.97,5819.68,1.213,34.406478,-119.554614,4,2.7,,,1.2127,,In_C Off_C Off_D OS2,In_C Off_C Off_D OS2,158,52270.0,430,16.98873901,6/6/2020 7:10,6/6/2020 0:10,June,0,night,night,POINT (-119.554614 34.406478)
2020-20,A69-9006-7853,2020-06-06 07:15:00,4368.74,5716.53,1.668,34.405548,-119.556074,1,3.3,,,1.6675,,In_C Off_C OS2,In_C Off_C OS2,158,52275.0,435,17.08860207,6/6/2020 7:15,6/6/2020 0:15,June,0,night,night,POINT (-119.556074 34.405548)
