,TRANSMITTER,DETECTEDID,DATETIME,X,Y,D,LAT,LON,n,HPE,HPEm,TEMP,DEPTH,ACCEL,DRX,URX
60882,Off_E,A69-1601-62004,5/21/2020 9:35,4788.4,5097.92,6.096,34.399972,-119.551509,1,3.6,3.4,,,,In_D Off_D Off_E PB,In_D Off_D PB
60885,In_D,A69-1601-62005,5/21/2020 9:38,5023.97,5466.72,6.705,34.403296,-119.548947,2,5.0,0.1,,,,In_D In_E Off_C Off_D OS2,In_E Off_C Off_D OS2
60889,Ref01,A69-1601-65105,5/21/2020 9:43,4717.05,4980.9,9.144,34.398917,-119.552285,5,5.0,3.0,,,,In_D In_E In_F Off_B Off_C Off_D Off_E Off_F OS2 PB,In_F Off_C Off_D Off_E Off_F OS2
60894,In_B,A69-1601-62002,5/21/2020 9:46,4190.16,6243.79,6.096,34.410301,-119.558017,1,8.2,9.3,,,,In_B In_C Off_B Off_C,In_C Off_B Off_C
60896,In_D,A69-1601-62005,5/21/2020 9:47,5024.8,5466.11,6.705,34.403291,-119.548938,4,3.6,1.1,,,,In_C In_D In_E In_F Off_D OS2,In_C In_E In_F Off_D OS2
60905,Ref01,A69-1601-65105,5/21/2020 9:53,4716.8,4980.74,9.144,34.398915,-119.552288,6,4.7,2.7,,,,In_C In_D In_E In_F Off_B Off_C Off_D Off_E Off_F OS2 PB,In_F Off_C Off_D Off_E Off_F OS2
60906,Off_E,A69-1601-62004,5/21/2020 9:54,4784.27,5094.69,6.096,34.399943,-119.551554,5,3.8,1.9,,,,In_D In_E In_F Off_D Off_E OS2 PB,In_D In_E In_F Off_D OS2
60914,In_D,A69-1601-62005,5/21/2020 9:57,5023.62,5466.38,6.705,34.403293,-119.548951,6,3.4,0.6,,,,In_C In_D In_E Off_C Off_D Off_E OS2 PB,In_E Off_C Off_D Off_E OS2
60924,Off_E,A69-1601-62004,5/21/2020 10:03,4784.36,5096.04,6.096,34.399955,-119.551553,1,5.8,1.1,,,,In_D In_E Off_E PB,In_D In_E PB
60926,Ref01,A69-1601-65105,5/21/2020 10:04,4714.95,4978.36,9.144,34.398894,-119.552308,6,4.7,0.4,,,,In_D In_F Off_B Off_C Off_D Off_E Off_F OS2 PB,In_F Off_C Off_D Off_E Off_F OS2
60927,Off_A,A69-1601-62648,5/21/2020 10:04,3487.97,6127.48,6.4,34.409252,-119.565654,2,6.6,5.9,,,,In_A In_B Off_A Off_B Off_C,In_A In_B Off_B Off_C
60928,Off_C,A69-1601-62644,5/21/2020 10:05,4204.3,5689.42,7.62,34.405304,-119.557862,4,3.3,2.2,,,,In_C Off_B Off_C Off_D OS2,In_C Off_B Off_D OS2
60930,In_B,A69-1601-62002,5/21/2020 10:05,4187.41,6249.8,6.096,34.410355,-119.558046,7,3.6,3.2,,,,In_A In_B In_C Off_A Off_B Off_C,In_A In_C Off_A Off_B Off_C
60937,In_D,A69-1601-62005,5/21/2020 10:08,5024.13,5466.92,6.705,34.403298,-119.548946,3,3.4,0.2,,,,In_D In_E In_F Off_C Off_E Off_F OS2,In_E In_F Off_C Off_E OS2
60947,Ref01,A69-1601-65105,5/21/2020 10:13,4716.24,4980.0,9.144,34.398909,-119.552294,8,3.8,1.8,,,,In_D In_E Off_C Off_D Off_E Off_F OS2 PB,In_D Off_C Off_D Off_E Off_F OS2
60948,In_F,A69-1601-62000,5/21/2020 10:13,5609.21,4862.48,6.096,34.397849,-119.542583,1,50.6,8.9,,,,In_E In_F Off_E PB,In_E Off_E PB
60951,Off_C,A69-1601-62644,5/21/2020 10:14,4203.78,5690.01,7.62,34.405309,-119.557868,3,4.2,1.9,,,,In_B In_C Off_B Off_C OS2,In_B In_C Off_B OS2
60953,In_B,A69-1601-62002,5/21/2020 10:16,4189.08,6247.76,6.096,34.410337,-119.558028,1,8.3,5.2,,,,In_B In_C Off_B Off_C,In_C Off_B Off_C
60967,Ref01,A69-1601-65105,5/21/2020 10:22,4714.52,4978.24,9.144,34.398893,-119.552313,6,4.7,0.7,,,,In_D In_E In_F Off_C Off_D Off_E Off_F OS2 PB,In_F Off_C Off_D Off_E Off_F OS2
60972,Off_A,A69-1601-62648,5/21/2020 10:24,3483.55,6124.91,6.4,34.409229,-119.565702,1,6.5,2.2,,,,In_A Off_A Off_B Off_C OS1,In_A Off_B OS1
60973,Off_C,A69-1601-62644,5/21/2020 10:25,4202.1,5688.3,7.62,34.405293,-119.557886,7,3.0,0.8,,,,In_B In_C Off_A Off_B Off_C Off_D,In_B In_C Off_A Off_B Off_D
