TRANSMITTER,DETECTEDID,DATETIME,X,Y,D,LAT,LON,n,HPE,HPEm,TEMP,DEPTH,ACCEL,DRX,URX,day,minutes,min_mod,Temp_C,DateTimeUTC,DateTimePT,month_name,hour,TOD,Night_Day,geometry
2020-20,A69-9006-7853,2020-06-07 07:32:00,5072.62,5491.88,0.303,34.403523,-119.548418,4,3.8,,,0.3031,,In_D In_E Off_D Off_E OS2,In_E Off_D Off_E OS2,159,53732.0,452,17.67441559,6/7/2020 7:32,6/7/2020 0:32,June,0,night,night,POINT (-119.548418 34.403523)
2020-20,A69-9006-7853,2020-06-07 07:47:00,4672.83,5731.5,0.758,34.405683,-119.552766,7,2.9,,,0.7579,,In_C Off_C Off_D Off_E OS2,In_C Off_C Off_D Off_E OS2,159,53747.0,467,16.84357834,6/7/2020 7:47,6/7/2020 0:47,June,0,night,night,POINT (-119.552766 34.405683)
2020-20,A69-9006-7853,2020-06-07 07:41:00,4791.12,5529.18,0.91,34.403859,-119.55148,1,2.8,,,0.9095,,In_D Off_D OS2,In_D Off_D OS2,159,53741.0,461,16.69342804,6/7/2020 7:41,6/7/2020 0:41,June,0,night,night,POINT (-119.55148 34.403859)
2020-20,A69-9006-7853,2020-06-07 07:44:00,4739.72,5645.17,0.91,34.404905,-119.552039,1,3.3,,,0.9095,,In_C In_D Off_D OS2,In_C In_D Off_D,159,53744.0,464,16.69571877,6/7/2020 7:44,6/7/2020 0:44,June,0,night,night,POINT (-119.552039 34.404905)
2020-20,A69-9006-7853,2020-06-07 07:25:00,4893.15,5457.56,1.213,34.403214,-119.55037,8,2.5,,,1.2127,,In_D In_E Off_D Off_E OS2,In_D In_E Off_D Off_E OS2,159,53725.0,445,16.81884766,6/7/2020 7:25,6/7/2020 0:25,June,0,night,night,POINT (-119.55037 34.403214)
2020-20,A69-9006-7853,2020-06-07 07:35:00,5009.39,5451.77,1.213,34.403162,-119.549106,1,3.7,,,1.2127,,In_D In_E Off_E OS2,In_E Off_E OS2,159,53735.0,455,16.81994629,6/7/2020 7:35,6/7/2020 0:35,June,0,night,night,POINT (-119.549106 34.403162)
2020-20,A69-9006-7853,2020-06-07 07:59:00,4310.38,5947.66,1.213,34.407632,-119.556709,7,2.6,,,1.2127,,In_B In_C Off_B Off_C Off_D,In_B In_C Off_B Off_C Off_D,159,53759.0,479,16.82616425,6/7/2020 7:59,6/7/2020 0:59,June,0,night,night,POINT (-119.556709 34.407632)
2020-20,A69-9006-7853,2020-06-07 07:20:00,4692.05,5453.99,1.364,34.403182,-119.552557,4,2.6,,,1.3643,,In_D Off_D Off_E OS2,In_D Off_D Off_E OS2,159,53720.0,440,16.84239006,6/7/2020 7:20,6/7/2020 0:20,June,0,night,night,POINT (-119.552557 34.403182)
2020-20,A69-9006-7853,2020-06-07 07:21:00,4721.54,5456.57,1.364,34.403205,-119.552236,7,2.5,,,1.3643,,In_D Off_C Off_D Off_E OS2,In_D Off_C Off_D Off_E OS2,159,53721.0,441,16.84249496,6/7/2020 7:21,6/7/2020 0:21,June,0,night,night,POINT (-119.552236 34.403205)
2020-20,A69-9006-7853,2020-06-07 07:21:00,4748.67,5466.25,1.364,34.403292,-119.551941,4,2.6,,,1.3643,,In_D Off_D Off_E OS2,In_D Off_D Off_E OS2,159,53721.0,441,16.84248924,6/7/2020 7:21,6/7/2020 0:21,June,0,night,night,POINT (-119.551941 34.403292)
