TRANSMITTER,DETECTEDID,DATETIME,X,Y,D,LAT,LON,n,HPE,HPEm,TEMP,DEPTH,ACCEL,DRX,URX,day,minutes,min_mod,Temp_C,DateTimeUTC,DateTimePT,month_name,hour,TOD,Night_Day,geometry
2020-21,A69-9006-7849,2020-05-31 14:48:00,4410.73,6174.74,-0.152,34.409679,-119.555617,4,3.6,,,0.0,,In_B In_C Off_C OS1 OS2,In_B In_C Off_C OS1 OS2,152,44088.0,888,16.62754059,5/31/2020 14:48,5/31/2020 7:48,May,7,morning,day,POINT (-119.555617 34.409679)
2020-21,A69-9006-7849,2020-05-31 14:49:00,4447.17,6137.32,0.152,34.409341,-119.555221,7,3.6,,,0.1515,,In_B In_C Off_B Off_C OS1,In_B In_C Off_B Off_C OS1,152,44089.0,889,16.76114655,5/31/2020 14:49,5/31/2020 7:49,May,7,morning,day,POINT (-119.555221 34.409341)
2020-21,A69-9006-7849,2020-05-31 14:37:00,3899.11,6564.93,0.303,34.413196,-119.561183,2,5.2,,,0.3031,,In_A In_B Off_A OS1,In_A In_B Off_A OS1,152,44077.0,877,16.91453362,5/31/2020 14:37,5/31/2020 7:37,May,7,morning,day,POINT (-119.561183 34.413196)
2020-21,A69-9006-7849,2020-05-31 14:47:00,4350.05,6170.2,0.455,34.409638,-119.556277,7,3.3,,,0.4547,,In_B In_C Off_B Off_C Off_D,In_B In_C Off_B Off_C Off_D,152,44087.0,887,17.61318016,5/31/2020 14:47,5/31/2020 7:47,May,7,morning,day,POINT (-119.556277 34.409638)
2020-21,A69-9006-7849,2020-05-31 14:31:00,3530.34,6497.72,0.606,34.412589,-119.565194,1,3.3,,,0.6063,,In_A Off_A OS1,In_A Off_A OS1,152,44071.0,871,18.44658089,5/31/2020 14:31,5/31/2020 7:31,May,7,morning,day,POINT (-119.565194 34.412589)
2020-21,A69-9006-7849,2020-05-31 14:51:00,4411.44,6108.66,1.061,34.409083,-119.55561,7,3.1,,,1.0611,,In_B In_C Off_B Off_C OS1,In_B In_C Off_B Off_C OS1,152,44091.0,891,16.16261864,5/31/2020 14:51,5/31/2020 7:51,May,7,morning,day,POINT (-119.55561 34.409083)
2020-21,A69-9006-7849,2020-05-31 14:55:00,4276.37,5924.56,1.364,34.407423,-119.557079,13,2.5,,,1.3643,,In_B In_C Off_B Off_C OS1 OS2,In_B In_C Off_B Off_C OS1 OS2,152,44095.0,895,16.13038635,5/31/2020 14:55,5/31/2020 7:55,May,7,morning,day,POINT (-119.557079 34.407423)
2020-21,A69-9006-7849,2020-05-31 14:36:00,3840.06,6561.08,1.971,34.413161,-119.561825,3,4.0,,,1.9707,,In_A In_B In_C Off_A OS1,In_A In_B In_C Off_A OS1,152,44076.0,876,16.13618851,5/31/2020 14:36,5/31/2020 7:36,May,7,morning,day,POINT (-119.561825 34.413161)
2020-21,A69-9006-7849,2020-05-31 14:41:00,4092.11,6381.54,1.971,34.411543,-119.559083,5,4.4,,,1.9707,,In_B Off_A Off_B Off_C OS1,In_B Off_A Off_B Off_C OS1,152,44081.0,881,16.12516785,5/31/2020 14:41,5/31/2020 7:41,May,7,morning,day,POINT (-119.559083 34.411543)
2020-21,A69-9006-7849,2020-05-31 14:41:00,4040.1,6415.59,2.274,34.41185,-119.559649,7,3.8,,,2.2739,,In_A In_B Off_A Off_B Off_C Off_D OS1,In_A In_B Off_B Off_C Off_D OS1,152,44081.0,881,16.06799316,5/31/2020 14:41,5/31/2020 7:41,May,7,morning,day,POINT (-119.559649 34.41185)
2020-21,A69-9006-7849,2020-05-31 14:28:00,3376.93,6435.14,2.729,34.412025,-119.566862,7,4.1,,,2.7287,,In_A In_B Off_A Off_B OS1,In_A In_B Off_A Off_B OS1,152,44068.0,868,15.9892292,5/31/2020 14:28,5/31/2020 7:28,May,7,morning,day,POINT (-119.566862 34.412025)
2020-21,A69-9006-7849,2020-05-31 14:53:00,4372.81,6039.29,2.729,34.408458,-119.55603,11,2.7,,,2.7287,,In_B In_C Off_A Off_B Off_C OS2,In_B In_C Off_A Off_B Off_C OS2,152,44093.0,893,15.97074318,5/31/2020 14:53,5/31/2020 7:53,May,7,morning,day,POINT (-119.55603 34.408458)
2020-21,A69-9006-7849,2020-05-31 14:43:00,4132.85,6324.03,2.88,34.411024,-119.55864,4,4.1,,,2.8803,,In_B Off_A Off_B OS1,In_B Off_A Off_B OS1,152,44083.0,883,15.93707657,5/31/2020 14:43,5/31/2020 7:43,May,7,morning,day,POINT (-119.55864 34.411024)
2020-21,A69-9006-7849,2020-05-31 14:27:00,3306.69,6408.1,3.032,34.411781,-119.567626,1,6.8,,,3.0319,,In_A Off_A OS1,In_A Off_A OS1,152,44067.0,867,15.94920731,5/31/2020 14:27,5/31/2020 7:27,May,7,morning,day,POINT (-119.567626 34.411781)
2020-21,A69-9006-7849,2020-05-31 14:38:00,3919.14,6497.09,3.032,34.412584,-119.560965,4,3.8,,,3.0319,,In_A In_B Off_A Off_B OS1,In_A In_B Off_A Off_B,152,44078.0,878,15.91978645,5/31/2020 14:38,5/31/2020 7:38,May,7,morning,day,POINT (-119.560965 34.412584)
2020-21,A69-9006-7849,2020-05-31 14:59:00,4198.3,5720.62,3.184,34.405585,-119.557927,4,3.2,,,3.1835,,In_C Off_B Off_C Off_D OS1,In_C Off_B Off_C Off_D OS1,152,44099.0,899,15.89537239,5/31/2020 14:59,5/31/2020 7:59,May,7,morning,day,POINT (-119.557927 34.405585)
2020-21,A69-9006-7849,2020-05-31 14:29:00,3446.96,6465.04,3.487,34.412295,-119.566101,4,3.6,,,3.4867,,In_A Off_A Off_B OS1,In_A Off_A Off_B OS1,152,44069.0,869,15.94837189,5/31/2020 14:29,5/31/2020 7:29,May,7,morning,day,POINT (-119.566101 34.412295)
2020-21,A69-9006-7849,2020-05-31 14:35:00,3772.42,6542.39,3.487,34.412993,-119.562561,9,3.3,,,3.4867,,In_A In_B Off_A Off_B Off_C OS1,In_A In_B Off_A Off_B Off_C OS1,152,44075.0,875,15.93034077,5/31/2020 14:35,5/31/2020 7:35,May,7,morning,day,POINT (-119.562561 34.412993)
2020-21,A69-9006-7849,2020-05-31 14:25:00,3276.06,6330.25,3.638,34.411079,-119.567959,3,7.0,,,3.6383,,In_A Off_A Off_B OS1,In_A Off_A Off_B OS1,152,44065.0,865,15.95953751,5/31/2020 14:25,5/31/2020 7:25,May,7,morning,day,POINT (-119.567959 34.411079)
2020-21,A69-9006-7849,2020-05-31 14:39:00,3943.94,6459.68,3.638,34.412247,-119.560695,5,3.6,,,3.6383,,In_A In_B Off_A Off_B OS1,In_A In_B Off_A Off_B OS1,152,44079.0,879,15.92015266,5/31/2020 14:39,5/31/2020 7:39,May,7,morning,day,POINT (-119.560695 34.412247)
2020-21,A69-9006-7849,2020-05-31 14:33:00,3695.6,6526.97,3.79,34.412853,-119.563396,6,3.2,,,3.7899,,In_A In_B Off_A Off_B OS1,In_A In_B Off_A Off_B OS1,152,44073.0,873,15.93981361,5/31/2020 14:33,5/31/2020 7:33,May,7,morning,day,POINT (-119.563396 34.412853)
2020-21,A69-9006-7849,2020-05-31 14:45:00,4273.35,6208.42,3.79,34.409982,-119.557112,6,3.3,,,3.7899,,In_B In_C Off_B Off_C OS1,In_B In_C Off_B Off_C OS1,152,44085.0,885,15.90413857,5/31/2020 14:45,5/31/2020 7:45,May,7,morning,day,POINT (-119.557112 34.409982)
2020-21,A69-9006-7849,2020-05-31 14:44:00,4201.69,6255.76,4.245,34.410409,-119.557891,1,24.9,,,4.2447,,In_B Off_A Off_B Off_C Off_D,In_B Off_C Off_D,152,44084.0,884,15.83174133,5/31/2020 14:44,5/31/2020 7:44,May,7,morning,day,POINT (-119.557891 34.410409)
2020-21,A69-9006-7849,2020-05-31 14:58:00,4237.16,5783.39,4.396,34.406151,-119.557505,13,2.6,,,4.3963,,In_B In_C In_D Off_B Off_C Off_D OS1,In_B In_C In_D Off_B Off_C Off_D,152,44098.0,898,15.80977249,5/31/2020 14:58,5/31/2020 7:58,May,7,morning,day,POINT (-119.557505 34.406151)
2020-21,A69-9006-7849,2020-05-31 14:22:00,3238.97,6122.18,4.851,34.409204,-119.568362,2,12.4,,,4.8511,,In_A Off_A Off_B OS1,In_A Off_A Off_B OS1,152,44062.0,862,15.62090397,5/31/2020 14:22,5/31/2020 7:22,May,7,morning,day,POINT (-119.568362 34.409204)
2020-21,A69-9006-7849,2020-05-31 14:57:00,4265.7,5851.54,5.003,34.406765,-119.557195,16,2.5,,,5.0027,,In_B In_C Off_A Off_B Off_C Off_D OS1 OS2,In_B In_C Off_B Off_C Off_D OS2,152,44097.0,897,15.59397411,5/31/2020 14:57,5/31/2020 7:57,May,7,morning,day,POINT (-119.557195 34.406765)
2020-21,A69-9006-7849,2020-05-31 14:21:00,3235.35,6066.37,5.306,34.4087,-119.568402,3,13.2,,,5.3059,,In_A In_B Off_A Off_B OS1,In_A In_B Off_B OS1,152,44061.0,861,15.4778204,5/31/2020 14:21,5/31/2020 7:21,May,7,morning,day,POINT (-119.568402 34.4087)
2020-21,A69-9006-7849,2020-05-31 14:54:00,4320.02,5981.15,5.306,34.407934,-119.556604,11,2.7,,,5.3059,,In_B In_C In_D Off_A Off_B Off_C Off_D Off_E OS1 OS2,In_B In_C In_D Off_B Off_D OS2,152,44094.0,894,15.48084259,5/31/2020 14:54,5/31/2020 7:54,May,7,morning,day,POINT (-119.556604 34.407934)
2020-21,A69-9006-7849,2020-05-31 15:26:00,3542.86,6422.07,-0.607,34.411908,-119.565057,1,3.1,,,0.0,,In_A Off_A OS1,In_A Off_A OS1,152,44126.0,926,16.63383102,5/31/2020 15:26,5/31/2020 8:26,May,8,morning,day,POINT (-119.565057 34.411908)
2020-21,A69-9006-7849,2020-05-31 15:35:00,3404.56,6540.85,-0.607,34.412978,-119.566562,7,4.9,,,0.0,,In_A Off_A Off_B Off_C OS1,In_A Off_A Off_B Off_C OS1,152,44135.0,935,16.63505554,5/31/2020 15:35,5/31/2020 8:35,May,8,morning,day,POINT (-119.566562 34.412978)
2020-21,A69-9006-7849,2020-05-31 15:40:00,3610.08,6574.07,-0.607,34.413278,-119.564327,4,3.8,,,0.0,,In_A Off_A Off_B OS1,In_A Off_A Off_B OS1,152,44140.0,940,16.63677788,5/31/2020 15:40,5/31/2020 8:40,May,8,morning,day,POINT (-119.564327 34.413278)
2020-21,A69-9006-7849,2020-05-31 15:38:00,3510.61,6601.54,-0.303,34.413525,-119.565409,5,10.4,,,0.0,,In_A Off_A Off_B Off_C OS1,In_A Off_A Off_B Off_C OS1,152,44138.0,938,16.63572693,5/31/2020 15:38,5/31/2020 8:38,May,8,morning,day,POINT (-119.565409 34.413525)
2020-21,A69-9006-7849,2020-05-31 15:32:00,3312.95,6539.42,0.0,34.412965,-119.567558,1,9.5,,,0.0,,In_A Off_A OS1,In_A Off_A OS1,152,44132.0,932,16.63396835,5/31/2020 15:32,5/31/2020 8:32,May,8,morning,day,POINT (-119.567558 34.412965)
2020-21,A69-9006-7849,2020-05-31 15:44:00,3793.28,6474.25,0.0,34.412378,-119.562334,1,4.5,,,0.0,,In_A In_B Off_B OS1,In_A In_B Off_B,152,44144.0,944,16.63917351,5/31/2020 15:44,5/31/2020 8:44,May,8,morning,day,POINT (-119.562334 34.412378)
2020-21,A69-9006-7849,2020-05-31 15:25:00,3575.81,6399.77,0.152,34.411707,-119.564699,1,2.9,,,0.1515,,In_A Off_A OS1,In_A Off_A OS1,152,44125.0,925,16.7485218,5/31/2020 15:25,5/31/2020 8:25,May,8,morning,day,POINT (-119.564699 34.411707)
2020-21,A69-9006-7849,2020-05-31 15:23:00,3620.82,6312.54,0.606,34.41092,-119.564209,8,2.5,,,0.6063,,In_A In_B Off_A Off_B OS1,In_A In_B Off_A Off_B OS1,152,44123.0,923,18.04204178,5/31/2020 15:23,5/31/2020 8:23,May,8,morning,day,POINT (-119.564209 34.41092)
2020-21,A69-9006-7849,2020-05-31 15:39:00,3556.97,6604.29,0.606,34.41355,-119.564904,6,4.1,,,0.6063,,In_A In_B Off_A Off_B OS1,In_A In_B Off_A Off_B OS1,152,44139.0,939,17.64670181,5/31/2020 15:39,5/31/2020 8:39,May,8,morning,day,POINT (-119.564904 34.41355)
2020-21,A69-9006-7849,2020-05-31 15:41:00,3638.99,6533.89,0.91,34.412916,-119.564012,7,3.1,,,0.9095,,In_A In_B Off_A Off_B OS1,In_A In_B Off_A Off_B OS1,152,44141.0,941,16.11046791,5/31/2020 15:41,5/31/2020 8:41,May,8,morning,day,POINT (-119.564012 34.412916)
2020-21,A69-9006-7849,2020-05-31 15:28:00,3458.58,6462.31,1.061,34.41227,-119.565974,1,3.8,,,1.0611,,In_A Off_A OS1,In_A Off_A OS1,152,44128.0,928,16.09867859,5/31/2020 15:28,5/31/2020 8:28,May,8,morning,day,POINT (-119.565974 34.41227)
2020-21,A69-9006-7849,2020-05-31 15:43:00,3736.82,6486.96,1.061,34.412493,-119.562948,10,3.0,,,1.0611,,In_A In_B Off_A Off_B Off_C OS1,In_A In_B Off_A Off_B Off_C OS1,152,44143.0,943,16.09287071,5/31/2020 15:43,5/31/2020 8:43,May,8,morning,day,POINT (-119.562948 34.412493)
