TRANSMITTER,DETECTEDID,DATETIME,X,Y,D,LAT,LON,n,HPE,HPEm,TEMP,DEPTH,ACCEL,DRX,URX,day,minutes,min_mod,Temp_C,DateTimeUTC,DateTimePT,month_name,hour,TOD,Night_Day,geometry
2020-21,A69-9006-7849,2020-06-24 11:32:00,4943.0,4836.77,-0.607,34.397618,-119.549828,2,3.2,,,0.0,,In_E Off_E Off_F PB,In_E Off_E Off_F PB,176,78452.0,692,19.62533379,6/24/2020 11:32,6/24/2020 4:32,June,4,night,night,POINT (-119.549828 34.397618)
2020-21,A69-9006-7849,2020-06-24 11:39:00,4800.68,5015.41,-0.607,34.399228,-119.551376,1,3.9,,,0.0,,In_D Off_D Off_E PB,In_D Off_D PB,176,78459.0,699,19.60764313,6/24/2020 11:39,6/24/2020 4:39,June,4,night,night,POINT (-119.551376 34.399228)
2020-21,A69-9006-7849,2020-06-24 11:41:00,4785.58,5055.67,-0.607,34.399591,-119.55154,1,3.7,,,0.0,,In_D Off_D Off_E PB,In_D Off_D PB,176,78461.0,701,19.60255241,6/24/2020 11:41,6/24/2020 4:41,June,4,night,night,POINT (-119.55154 34.399591)
2020-21,A69-9006-7849,2020-06-24 11:42:00,4778.07,5099.22,-0.607,34.399983,-119.551622,1,3.5,,,0.0,,In_D Off_D Off_E PB,In_D Off_D PB,176,78462.0,702,19.59999847,6/24/2020 11:42,6/24/2020 4:42,June,4,night,night,POINT (-119.551622 34.399983)
2020-21,A69-9006-7849,2020-06-24 11:45:00,4759.15,5174.84,-0.607,34.400665,-119.551827,13,2.6,,,0.0,,In_D In_E Off_D Off_E OS2 PB,In_D In_E Off_D Off_E OS2 PB,176,78465.0,705,19.59235191,6/24/2020 11:45,6/24/2020 4:45,June,4,night,night,POINT (-119.551827 34.400665)
2020-21,A69-9006-7849,2020-06-24 11:51:00,4682.57,5357.77,-0.607,34.402314,-119.55266,4,2.6,,,0.0,,In_D Off_D Off_E OS2,In_D Off_D Off_E OS2,176,78471.0,711,19.57706451,6/24/2020 11:51,6/24/2020 4:51,June,4,night,night,POINT (-119.55266 34.402314)
2020-21,A69-9006-7849,2020-06-24 11:52:00,4672.12,5384.99,-0.607,34.40256,-119.552774,1,3.3,,,0.0,,In_D Off_D Off_E,In_D Off_D Off_E,176,78472.0,712,19.5745163,6/24/2020 11:52,6/24/2020 4:52,June,4,night,night,POINT (-119.552774 34.40256)
2020-21,A69-9006-7849,2020-06-24 11:53:00,4664.35,5417.66,-0.607,34.402854,-119.552859,2,3.0,,,0.0,,In_D Off_C Off_D Off_E,In_D Off_C Off_D Off_E,176,78473.0,713,19.57196617,6/24/2020 11:53,6/24/2020 4:53,June,4,night,night,POINT (-119.552859 34.402854)
2020-21,A69-9006-7849,2020-06-24 11:50:00,4701.42,5325.83,-0.152,34.402026,-119.552455,1,4.1,,,0.0,,In_D Off_D OS2,In_D Off_D OS2,176,78470.0,710,19.57961082,6/24/2020 11:50,6/24/2020 4:50,June,4,night,night,POINT (-119.552455 34.402026)
2020-21,A69-9006-7849,2020-06-24 11:49:00,4729.06,5311.23,0.152,34.401895,-119.552155,5,2.7,,,0.1515,,Off_C Off_D Off_E OS2 PB,Off_C Off_D Off_E OS2 PB,176,78469.0,709,20.18404579,6/24/2020 11:49,6/24/2020 4:49,June,4,night,night,POINT (-119.552155 34.401895)
