TRANSMITTER,DETECTEDID,DATETIME,X,Y,D,LAT,LON,n,HPE,HPEm,TEMP,DEPTH,ACCEL,DRX,URX,day,minutes,min_mod,Temp_C,DateTimeUTC,DateTimePT,month_name,hour,TOD,Night_Day,geometry
2020-33,A69-9006-7854,2020-08-15 07:02:00,5200.9,4979.44,0.0,34.398904,-119.547023,15,2.4,,,0.0,,In_E In_F Mid_A Off_E Off_F PB,In_E In_F Mid_A Off_E Off_F PB,228,153062.0,422,20.99607086,8/15/2020 7:02,8/15/2020 0:02,August,0,night,night,POINT (-119.547023 34.398904)
2020-33,A69-9006-7854,2020-08-15 07:03:00,5230.09,4953.0,0.0,34.398665,-119.546706,1,3.7,,,0.0,,In_E Off_E Off_F,In_E Off_E Off_F,228,153063.0,423,20.99435234,8/15/2020 7:03,8/15/2020 0:03,August,0,night,night,POINT (-119.546706 34.398665)
2020-33,A69-9006-7854,2020-08-15 07:04:00,5235.78,4987.22,0.0,34.398974,-119.546644,1,3.0,,,0.0,,In_E Mid_A PB,In_E Mid_A PB,228,153064.0,424,20.99249458,8/15/2020 7:04,8/15/2020 0:04,August,0,night,night,POINT (-119.546644 34.398974)
2020-33,A69-9006-7854,2020-08-15 07:05:00,5236.46,5015.97,0.0,34.399233,-119.546636,14,2.5,,,0.0,,In_E In_F Mid_A Off_E Off_F PB,In_E In_F Mid_A Off_E Off_F PB,228,153065.0,425,20.99064255,8/15/2020 7:05,8/15/2020 0:05,August,0,night,night,POINT (-119.546636 34.399233)
2020-33,A69-9006-7854,2020-08-15 07:06:00,5220.39,5042.13,0.0,34.399469,-119.546811,14,2.5,,,0.0,,In_E In_F Mid_A Off_E Off_F PB,In_E In_F Mid_A Off_E Off_F PB,228,153066.0,426,20.9887867,8/15/2020 7:06,8/15/2020 0:06,August,0,night,night,POINT (-119.546811 34.399469)
2020-33,A69-9006-7854,2020-08-15 07:07:00,5194.86,5049.68,0.0,34.399537,-119.547089,1,4.4,,,0.0,,In_E Off_F PB,In_E Off_F PB,228,153067.0,427,20.98696518,8/15/2020 7:07,8/15/2020 0:07,August,0,night,night,POINT (-119.547089 34.399537)
2020-33,A69-9006-7854,2020-08-15 07:08:00,5169.13,5065.25,0.0,34.399677,-119.547369,1,4.4,,,0.0,,In_E Off_F PB,In_E Off_F PB,228,153068.0,428,20.98512459,8/15/2020 7:08,8/15/2020 0:08,August,0,night,night,POINT (-119.547369 34.399677)
2020-33,A69-9006-7854,2020-08-15 07:09:00,5133.73,5074.43,0.0,34.39976,-119.547754,9,2.6,,,0.0,,In_E Mid_A Off_E Off_F PB,In_E Mid_A Off_E Off_F PB,228,153069.0,429,20.98329163,8/15/2020 7:09,8/15/2020 0:09,August,0,night,night,POINT (-119.547754 34.39976)
2020-33,A69-9006-7854,2020-08-15 07:11:00,5126.28,5056.57,0.0,34.399599,-119.547835,1,3.5,,,0.0,,In_D In_E PB,In_D In_E PB,228,153071.0,431,20.97974396,8/15/2020 7:11,8/15/2020 0:11,August,0,night,night,POINT (-119.547835 34.399599)
2020-33,A69-9006-7854,2020-08-15 07:11:00,5144.33,5037.54,0.0,34.399427,-119.547638,1,3.0,,,0.0,,In_E Off_E Off_F,In_E Off_E Off_F,228,153071.0,431,20.97979546,8/15/2020 7:11,8/15/2020 0:11,August,0,night,night,POINT (-119.547638 34.399427)
