TRANSMITTER,DETECTEDID,DATETIME,X,Y,D,LAT,LON,n,HPE,HPEm,TEMP,DEPTH,ACCEL,DRX,URX,day,minutes,min_mod,Temp_C,DateTimeUTC,DateTimePT,month_name,hour,TOD,Night_Day
2020-20,A69-9006-7853,5/22/2020 7:06,4380.13,5530.71,-0.607,34.403873,-119.55595,1,3.4,,,0.0,,Off_C Off_D OS2,Off_C Off_D OS2,143,30666.0,426,16.30787468,5/22/2020 7:06,5/22/2020 0:06,May,0,night,night
2020-20,A69-9006-7853,5/22/2020 7:07,4398.87,5493.82,-0.607,34.40354,-119.555746,1,3.3,,,0.0,,Off_C Off_D OS2,Off_C Off_D OS2,143,30667.0,427,16.30679703,5/22/2020 7:07,5/22/2020 0:07,May,0,night,night
2020-20,A69-9006-7853,5/22/2020 7:17,4503.72,5289.15,-0.607,34.401695,-119.554605,1,4.2,,,0.0,,Off_C Off_D Off_E OS2,Off_C Off_E OS2,143,30677.0,437,16.29566002,5/22/2020 7:17,5/22/2020 0:17,May,0,night,night
2020-20,A69-9006-7853,5/22/2020 7:18,4532.5,5279.47,-0.607,34.401608,-119.554292,1,4.1,,,0.0,,Off_D Off_E OS2,Off_D Off_E OS2,143,30678.0,438,16.29453468,5/22/2020 7:18,5/22/2020 0:18,May,0,night,night
2020-20,A69-9006-7853,5/22/2020 7:23,4711.9,5288.89,-0.607,34.401693,-119.552341,4,2.7,,,0.0,,In_D Off_D Off_E OS2,In_D Off_D Off_E OS2,143,30683.0,443,16.28906059,5/22/2020 7:23,5/22/2020 0:23,May,0,night,night
2020-20,A69-9006-7853,5/23/2020 7:45,3541.75,6507.28,-0.607,34.412676,-119.56507,1,3.4,,,0.0,,In_A Off_A OS1,In_A Off_A OS1,144,32145.0,465,16.0684948,5/23/2020 7:45,5/23/2020 0:45,May,0,night,night
2020-20,A69-9006-7853,5/24/2020 7:05,5367.53,4974.14,-0.607,34.398856,-119.545211,1,4.6,,,0.0,,In_F Off_E Off_F,In_F Off_E Off_F,145,33545.0,425,15.8932476,5/24/2020 7:05,5/24/2020 0:05,May,0,night,night
2020-20,A69-9006-7853,5/27/2020 7:17,5094.06,4776.11,-0.607,34.397071,-119.548185,1,7.3,,,0.0,,In_E Off_E Off_F PB,In_E Off_E PB,148,37877.0,437,15.31947613,5/27/2020 7:17,5/27/2020 0:17,May,0,night,night
2020-20,A69-9006-7853,5/27/2020 7:20,5171.23,4870.61,-0.607,34.397923,-119.547346,3,3.5,,,0.0,,In_E Off_E Off_F PB,In_E Off_E Off_F PB,148,37880.0,440,15.32089043,5/27/2020 7:20,5/27/2020 0:20,May,0,night,night
2020-20,A69-9006-7853,5/27/2020 7:22,5236.33,4889.2,-0.607,34.39809,-119.546638,1,3.2,,,0.0,,In_E In_F Off_F,In_E In_F Off_F,148,37882.0,442,15.32219696,5/27/2020 7:22,5/27/2020 0:22,May,0,night,night
2020-20,A69-9006-7853,5/27/2020 7:24,5274.77,4901.84,-0.607,34.398204,-119.54622,1,3.0,,,0.0,,In_E In_F Off_F,In_E In_F Off_F,148,37884.0,444,15.32346916,5/27/2020 7:24,5/27/2020 0:24,May,0,night,night
2020-20,A69-9006-7853,5/27/2020 7:28,5407.31,4934.73,-0.607,34.398501,-119.544778,1,4.2,,,0.0,,In_E In_F Off_E,In_E In_F Off_E,148,37888.0,448,15.32611465,5/27/2020 7:28,5/27/2020 0:28,May,0,night,night
2020-20,A69-9006-7853,5/27/2020 7:50,5225.91,5073.25,-0.607,34.399749,-119.546751,9,2.9,,,0.0,,In_D In_E Off_E Off_F PB,In_D In_E Off_E Off_F PB,148,37910.0,470,15.3651495,5/27/2020 7:50,5/27/2020 0:50,May,0,night,night
2020-20,A69-9006-7853,5/27/2020 7:51,5192.23,5086.07,-0.607,34.399865,-119.547117,4,3.0,,,0.0,,In_D In_E Off_E PB,In_D In_E Off_E PB,148,37911.0,471,15.36723804,5/27/2020 7:51,5/27/2020 0:51,May,0,night,night
2020-20,A69-9006-7853,5/27/2020 7:53,5127.25,5073.96,-0.607,34.399756,-119.547824,18,2.5,,,0.0,,In_D In_E Off_D Off_E Off_F PB,In_D In_E Off_D Off_E Off_F PB,148,37913.0,473,15.37173843,5/27/2020 7:53,5/27/2020 0:53,May,0,night,night
2020-20,A69-9006-7853,5/27/2020 7:54,5108.42,5044.59,-0.607,34.399491,-119.548029,8,2.6,,,0.0,,In_D In_E In_F Off_E PB,In_D In_E In_F Off_E PB,148,37914.0,474,15.37422562,5/27/2020 7:54,5/27/2020 0:54,May,0,night,night
2020-20,A69-9006-7853,5/27/2020 7:58,5177.9,4991.25,-0.607,34.39901,-119.547273,17,2.4,,,0.0,,In_D In_E In_F Off_E Off_F PB,In_D In_E In_F Off_E Off_F PB,148,37918.0,478,15.38080215,5/27/2020 7:58,5/27/2020 0:58,May,0,night,night
2020-20,A69-9006-7853,5/27/2020 7:59,5216.25,4987.91,-0.607,34.39898,-119.546856,1,4.4,,,0.0,,In_E Off_F PB,In_E Off_F PB,148,37919.0,479,15.38115883,5/27/2020 7:59,5/27/2020 0:59,May,0,night,night
2020-20,A69-9006-7853,5/30/2020 7:32,4293.92,5618.09,-0.607,34.404661,-119.556887,7,2.8,,,0.0,,In_B In_C Off_C Off_D OS2,In_B In_C Off_C Off_D OS2,151,42212.0,452,16.18406868,5/30/2020 7:32,5/30/2020 0:32,May,0,night,night
2020-20,A69-9006-7853,5/30/2020 7:33,4343.26,5588.23,-0.607,34.404392,-119.556351,1,12.1,,,0.0,,In_B In_C Off_C,In_B In_C Off_C,151,42213.0,453,16.18419266,5/30/2020 7:33,5/30/2020 0:33,May,0,night,night
2020-20,A69-9006-7853,5/30/2020 7:35,4397.05,5552.83,-0.607,34.404072,-119.555766,4,2.8,,,0.0,,In_C Off_C Off_D OS2,In_C Off_C Off_D OS2,151,42215.0,455,16.1844368,5/30/2020 7:35,5/30/2020 0:35,May,0,night,night
2020-20,A69-9006-7853,6/1/2020 7:06,4559.89,5409.56,-0.607,34.402781,-119.553995,1,3.0,,,0.0,,Off_D Off_E OS2,Off_D Off_E OS2,153,45066.0,426,16.18913078,6/1/2020 7:06,6/1/2020 0:06,June,0,night,night
2020-20,A69-9006-7853,6/1/2020 7:17,4904.48,5348.05,-0.607,34.402227,-119.550247,8,2.5,,,0.0,,In_D In_E Off_D Off_E OS2,In_D In_E Off_D Off_E OS2,153,45077.0,437,16.19112206,6/1/2020 7:17,6/1/2020 0:17,June,0,night,night
2020-20,A69-9006-7853,6/1/2020 7:19,4897.19,5325.16,-0.607,34.40202,-119.550326,1,4.7,,,0.0,,In_D Off_D OS2,In_D Off_D OS2,153,45079.0,439,16.1915741,6/1/2020 7:19,6/1/2020 0:19,June,0,night,night
2020-20,A69-9006-7853,6/1/2020 7:23,4918.03,5264.48,-0.607,34.401473,-119.5501,3,2.8,,,0.0,,In_D In_E Off_D Off_E,In_D In_E Off_D Off_E,153,45083.0,443,16.19248009,6/1/2020 7:23,6/1/2020 0:23,June,0,night,night
2020-20,A69-9006-7853,6/1/2020 7:27,4783.09,5227.57,-0.607,34.40114,-119.551567,7,2.6,,,0.0,,In_D Off_D Off_E OS2 PB,In_D Off_D Off_E OS2 PB,153,45087.0,447,16.19337845,6/1/2020 7:27,6/1/2020 0:27,June,0,night,night
2020-20,A69-9006-7853,6/1/2020 7:27,4754.36,5223.41,-0.607,34.401103,-119.551879,7,2.6,,,0.0,,In_D Off_D Off_E OS2 PB,In_D Off_D Off_E OS2 PB,153,45087.0,447,16.19337845,6/1/2020 7:27,6/1/2020 0:27,June,0,night,night
