TRANSMITTER,DETECTEDID,DATETIME,X,Y,D,LAT,LON,n,HPE,HPEm,TEMP,DEPTH,ACCEL,DRX,URX,day,minutes,min_mod,Temp_C,DateTimeUTC,DateTimePT,month_name,hour,TOD,Night_Day,geometry
2020-19,A69-9006-7851,2020-06-08 19:56:00,5584.79,4878.65,0.0,34.397995,-119.542848,4,3.6,,,0.0,,CN In_E In_F Off_F PB,CN In_E In_F Off_F PB,160,55916.0,1196,16.87840652,6/8/2020 19:56,6/8/2020 12:56,June,12,afternoon,day,POINT (-119.542848 34.397995)
2020-19,A69-9006-7851,2020-06-08 19:58:00,5537.76,4963.35,3.942,34.398758,-119.54336,9,3.3,,,3.9415,,In_E In_F Off_E Off_F PB,In_E In_F Off_E Off_F PB,160,55918.0,1198,16.13644409,6/8/2020 19:58,6/8/2020 12:58,June,12,afternoon,day,POINT (-119.54336 34.398758)
2020-19,A69-9006-7851,2020-06-08 19:57:00,5557.65,4915.3,4.7,34.398325,-119.543143,4,4.0,,,4.6995,,In_E In_F Off_E PB,In_E In_F Off_E PB,160,55917.0,1197,16.05109978,6/8/2020 19:57,6/8/2020 12:57,June,12,afternoon,day,POINT (-119.543143 34.398325)
2020-19,A69-9006-7851,2020-06-08 20:12:00,5070.3,5365.41,-0.607,34.402383,-119.548443,1,6.6,,,0.0,,In_D Off_D Off_E,In_D Off_D Off_E,160,55932.0,1212,16.81868553,6/8/2020 20:12,6/8/2020 13:12,June,13,afternoon,day,POINT (-119.548443 34.402383)
2020-19,A69-9006-7851,2020-06-08 20:18:00,4848.9,5493.24,-0.607,34.403535,-119.550851,4,2.7,,,0.0,,In_D Off_D Off_E OS2,In_D Off_D Off_E OS2,160,55938.0,1218,16.79906845,6/8/2020 20:18,6/8/2020 13:18,June,13,afternoon,day,POINT (-119.550851 34.403535)
2020-19,A69-9006-7851,2020-06-08 20:19:00,4812.58,5507.09,-0.607,34.40366,-119.551246,4,2.6,,,0.0,,In_D Off_D Off_E OS2,In_D Off_D Off_E OS2,160,55939.0,1219,16.79431343,6/8/2020 20:19,6/8/2020 13:19,June,13,afternoon,day,POINT (-119.551246 34.40366)
2020-19,A69-9006-7851,2020-06-08 20:20:00,4735.48,5525.55,-0.607,34.403827,-119.552085,2,3.3,,,0.0,,Off_C Off_D Off_E OS2,Off_C Off_D Off_E OS2,160,55940.0,1220,16.79109192,6/8/2020 20:20,6/8/2020 13:20,June,13,afternoon,day,POINT (-119.552085 34.403827)
2020-19,A69-9006-7851,2020-06-08 20:22:00,4698.07,5577.2,-0.607,34.404292,-119.552492,6,2.8,,,0.0,,In_C In_D Off_C Off_D OS2,In_C In_D Off_C Off_D OS2,160,55942.0,1222,16.7790699,6/8/2020 20:22,6/8/2020 13:22,June,13,afternoon,day,POINT (-119.552492 34.404292)
2020-19,A69-9006-7851,2020-06-08 20:31:00,4882.54,5613.22,-0.607,34.404617,-119.550486,1,4.4,,,0.0,,In_D Off_E OS2,In_D Off_E OS2,160,55951.0,1231,16.74855614,6/8/2020 20:31,6/8/2020 13:31,June,13,afternoon,day,POINT (-119.550486 34.404617)
2020-19,A69-9006-7851,2020-06-08 20:34:00,4984.26,5668.88,-0.607,34.405119,-119.549379,6,5.0,,,0.0,,In_D In_E Off_D Off_E OS2,In_D In_E Off_D Off_E OS2,160,55954.0,1234,16.75086021,6/8/2020 20:34,6/8/2020 13:34,June,13,afternoon,day,POINT (-119.549379 34.405119)
2020-19,A69-9006-7851,2020-06-08 20:36:00,5013.21,5636.99,-0.607,34.404831,-119.549064,4,6.9,,,0.0,,In_D Off_C Off_D Off_E OS2,In_D Off_C Off_D Off_E OS2,160,55956.0,1236,16.75234795,6/8/2020 20:36,6/8/2020 13:36,June,13,afternoon,day,POINT (-119.549064 34.404831)
2020-19,A69-9006-7851,2020-06-08 20:40:00,5099.06,5547.99,-0.607,34.404029,-119.548131,2,6.8,,,0.0,,In_D In_E Off_D OS2,In_D In_E Off_D OS2,160,55960.0,1240,16.75531769,6/8/2020 20:40,6/8/2020 13:40,June,13,afternoon,day,POINT (-119.548131 34.404029)
2020-19,A69-9006-7851,2020-06-08 20:41:00,5058.8,5525.97,-0.607,34.40383,-119.548569,1,11.3,,,0.0,,In_D Off_D OS2,In_D Off_D OS2,160,55961.0,1241,16.75605965,6/8/2020 20:41,6/8/2020 13:41,June,13,afternoon,day,POINT (-119.548569 34.40383)
2020-19,A69-9006-7851,2020-06-08 20:56:00,5051.47,5199.27,-0.607,34.400885,-119.548648,4,2.7,,,0.0,,In_D In_E Off_E Off_F,In_D In_E Off_E Off_F,160,55976.0,1256,16.65820122,6/8/2020 20:56,6/8/2020 13:56,June,13,afternoon,day,POINT (-119.548648 34.400885)
2020-19,A69-9006-7851,2020-06-08 20:58:00,4993.38,5160.8,-0.607,34.400539,-119.54928,3,3.0,,,0.0,,In_D In_E Off_D Off_E,In_D In_E Off_D Off_E,160,55978.0,1258,16.55209541,6/8/2020 20:58,6/8/2020 13:58,June,13,afternoon,day,POINT (-119.54928 34.400539)
