TRANSMITTER,DETECTEDID,DATETIME,X,Y,D,LAT,LON,n,HPE,HPEm,TEMP,DEPTH,ACCEL,DRX,URX,day,minutes,min_mod,Temp_C,DateTimeUTC,DateTimePT,month_name,hour,TOD,Night_Day,geometry
2020-19,A69-9006-7851,2020-06-07 08:33:00,5082.26,4812.6,2.577,34.3974,-119.548313,1,5.6,,,2.5771,,In_E Off_E PB,In_E Off_E PB,159,53793.0,513,16.8150177,6/7/2020 8:33,6/7/2020 1:33,June,1,night,night,POINT (-119.548313 34.3974)
2020-19,A69-9006-7851,2020-06-07 08:53:00,4808.87,5115.77,2.88,34.400133,-119.551287,12,2.7,,,2.8803,,In_D In_E Off_D Off_E OS2 PB,In_D In_E Off_D Off_E OS2 PB,159,53813.0,533,16.7199707,6/7/2020 8:53,6/7/2020 1:53,June,1,night,night,POINT (-119.551287 34.400133)
2020-19,A69-9006-7851,2020-06-07 08:06:00,5175.13,4585.69,3.032,34.395354,-119.547303,1,203.7,,,3.0319,,Off_E Off_F PB,Off_E Off_F PB,159,53766.0,486,16.70436668,6/7/2020 8:06,6/7/2020 1:06,June,1,night,night,POINT (-119.547303 34.395354)
2020-19,A69-9006-7851,2020-06-07 08:09:00,5279.05,4574.44,3.335,34.395253,-119.546173,1,17.9,,,3.3351,,In_F Off_E Off_F PB,In_F Off_E PB,159,53769.0,489,16.64142609,6/7/2020 8:09,6/7/2020 1:09,June,1,night,night,POINT (-119.546173 34.395253)
2020-19,A69-9006-7851,2020-06-07 08:52:00,4834.33,5094.44,3.487,34.39994,-119.55101,11,2.7,,,3.4867,,In_D In_E Off_D Off_E OS2 PB,In_D In_E Off_D Off_E OS2 PB,159,53812.0,532,16.60060692,6/7/2020 8:52,6/7/2020 1:52,June,1,night,night,POINT (-119.55101 34.39994)
2020-19,A69-9006-7851,2020-06-07 08:51:00,4867.43,5096.34,3.638,34.399957,-119.55065,13,2.7,,,3.6383,,In_D In_E Off_D Off_E Off_F OS2 PB,In_D In_E Off_D Off_E Off_F OS2,159,53811.0,531,16.59441757,6/7/2020 8:51,6/7/2020 1:51,June,1,night,night,POINT (-119.55065 34.399957)
2020-19,A69-9006-7851,2020-06-07 08:58:00,4792.17,5266.19,3.638,34.401489,-119.551468,14,2.4,,,3.6383,,In_D In_E Off_D Off_E OS2 PB,In_D In_E Off_D Off_E OS2 PB,159,53818.0,538,16.59472847,6/7/2020 8:58,6/7/2020 1:58,June,1,night,night,POINT (-119.551468 34.401489)
2020-19,A69-9006-7851,2020-06-07 08:12:00,5381.27,4651.84,3.79,34.39595,-119.545062,4,2.7,,,3.7899,,In_E In_F Off_F Off_G,In_E In_F Off_F Off_G,159,53772.0,492,16.59440041,6/7/2020 8:12,6/7/2020 1:12,June,1,night,night,POINT (-119.545062 34.39595)
2020-19,A69-9006-7851,2020-06-07 08:13:00,5410.82,4670.87,3.79,34.396122,-119.54474,4,2.8,,,3.7899,,In_E In_F Off_F Off_G,In_E In_F Off_F Off_G,159,53773.0,493,16.5943737,6/7/2020 8:13,6/7/2020 1:13,June,1,night,night,POINT (-119.54474 34.396122)
2020-19,A69-9006-7851,2020-06-07 08:49:00,4857.71,5045.63,3.79,34.3995,-119.550756,4,2.9,,,3.7899,,In_D In_E Off_D PB,In_D In_E Off_D PB,159,53809.0,529,16.59471321,6/7/2020 8:49,6/7/2020 1:49,June,1,night,night,POINT (-119.550756 34.3995)
